state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,bars_restaurants_closures,retail_closure,travel_restrictions
Arizona ,2020-04-26,80,83,19,30,37,1,0,1,1,1,1
Arizona ,2020-05-03,69,75,30,33,35,1,0,1,1,1,1
Arizona ,2020-05-10,69,68,22,37,31,1,0,1,1,1,1
Arizona ,2020-05-17,71,77,22,35,38,0,0,1,1,1,0
Arizona ,2020-05-24,52,76,20,26,35,0,0,1,1,1,0
Arizona ,2020-05-31,56,64,23,31,35,0,0,1,1,1,0
Arizona ,2020-06-07,60,74,24,36,31,0,0,1,1,1,0
Arizona ,2020-06-14,53,88,25,39,40,0,0,1,1,1,0
Arizona ,2020-06-21,48,86,26,36,31,0,0,1,1,1,0
Arizona ,2020-06-28,60,88,17,29,28,0,0,1,1,1,0
Arizona ,2020-07-05,55,83,17,37,31,0,0,1,1,1,0
Arizona ,2020-07-12,55,81,24,36,35,0,0,1,1,1,0
Arizona ,2020-07-19,53,78,18,42,38,0,0,1,1,1,0
Arizona ,2020-07-26,53,88,23,37,32,0,0,1,1,1,0
Arizona ,2020-08-02,53,84,26,40,32,0,0,1,1,1,0
Arizona ,2020-08-09,61,79,13,35,39,0,0,1,1,1,0
Arizona ,2020-08-16,54,75,22,37,38,0,0,1,1,1,0
Arizona ,2020-08-23,62,86,24,39,38,0,0,1,1,1,0
Arizona ,2020-08-30,60,86,23,38,38,0,0,1,1,1,0
Arizona ,2020-09-06,69,85,20,39,36,0,0,1,1,1,0
Arizona ,2020-09-13,64,79,29,36,43,0,0,1,1,1,0
Arizona ,2020-09-20,70,72,20,40,51,0,0,1,1,1,0
Arizona ,2020-09-27,62,85,23,32,44,0,0,1,1,1,0
Arizona ,2020-10-04,65,75,24,37,48,0,0,1,1,1,0
Arizona ,2020-10-11,58,79,19,37,43,0,0,1,1,1,0
Arizona ,2020-10-18,67,87,26,34,32,0,0,1,1,1,0
Arizona ,2020-10-25,62,78,19,30,33,0,0,1,1,1,0
Arizona ,2020-11-01,52,64,19,27,28,0,0,1,1,1,0
Arizona ,2020-11-08,63,71,22,41,40,0,0,1,1,1,0
Arizona ,2020-11-15,64,72,28,41,35,0,0,1,1,1,0
Arizona ,2020-11-22,53,72,11,30,15,0,0,1,1,1,0
Arizona ,2020-11-29,66,72,23,39,41,0,0,1,1,1,0
Arizona ,2020-12-06,59,84,16,32,36,0,0,1,1,1,0
Arizona ,2020-12-13,59,83,27,31,34,0,0,1,1,1,0
Arizona ,2020-12-20,38,67,26,20,26,0,0,1,1,1,0
Arizona ,2020-12-27,55,74,16,24,26,0,0,1,1,1,0
Arizona ,2021-01-03,52,66,23,30,32,0,0,1,1,1,0
Arizona ,2021-01-10,56,72,20,36,31,0,0,1,1,1,0
Arizona ,2021-01-17,53,89,22,33,32,0,0,1,1,1,0
Arizona ,2021-01-24,68,94,22,30,35,0,0,1,1,1,0
Arizona ,2021-01-31,68,97,23,39,43,0,0,1,1,1,0
Arizona ,2021-02-07,69,93,22,34,38,0,0,1,1,1,0
Arizona ,2021-02-14,72,88,22,40,30,0,0,1,1,1,0
Arizona ,2021-02-21,56,86,24,39,47,0,0,1,1,1,0
Arizona ,2021-02-28,74,85,22,37,39,0,0,1,1,1,0
Arizona ,2021-03-07,64,77,23,42,42,0,0,1,1,1,0
Arizona ,2021-03-14,54,85,26,36,30,0,0,1,1,1,0
Arizona ,2021-03-21,62,92,19,39,40,0,0,1,1,1,0
Arizona ,2021-03-28,73,74,29,41,40,0,0,0,0,0,0
Arizona ,2021-04-04,72,99,23,43,36,0,0,0,0,0,0
Arizona ,2021-04-11,68,86,23,41,40,0,0,0,0,0,0
Arizona ,2021-04-18,61,86,20,39,39,0,0,0,0,0,0
Arizona ,2021-04-25,66,76,22,37,48,0,0,0,0,0,0
Arizona ,2021-05-02,68,82,26,37,49,0,0,0,0,0,0
Arizona ,2021-05-09,65,82,18,44,45,0,0,0,0,0,0
Arizona ,2021-05-16,70,92,23,43,47,0,0,0,0,0,0
Arizona ,2021-05-23,64,85,20,39,49,0,0,0,0,0,0
Arizona ,2021-05-30,55,85,26,39,39,0,0,0,0,0,0
Arizona ,2021-06-06,59,82,23,43,40,0,0,0,0,0,0
Arizona ,2021-06-13,60,78,20,35,36,0,0,0,0,0,0
Arizona ,2021-06-20,53,88,18,31,38,0,0,0,0,0,0
Arizona ,2021-06-27,61,92,19,45,37,0,0,0,0,0,0
Arizona ,2021-07-04,53,99,18,41,33,0,0,0,0,0,0
Arizona ,2021-07-11,49,72,13,37,39,0,0,0,0,0,0
Arizona ,2021-07-18,52,90,22,38,35,0,0,0,0,0,0
