state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
Hawaii,2022-01-16,52,56,16,29,35,0,1,1,1,1
Hawaii,2022-01-23,37,67,15,34,33,0,1,1,1,1
Hawaii,2022-01-30,62,61,14,21,58,0,1,1,1,1
Hawaii,2022-02-06,49,84,15,18,57,0,1,1,1,1
Hawaii,2022-02-13,45,46,22,30,39,0,1,1,1,1
Hawaii,2022-02-20,40,85,9,37,51,0,1,1,1,1
Hawaii,2022-02-27,46,81,24,23,56,0,1,1,1,1
Hawaii,2022-03-06,73,86,23,13,48,0,1,0,0,1
Hawaii,2022-03-13,50,64,0,34,33,0,1,0,0,1
Hawaii,2022-03-20,41,63,15,26,43,0,1,0,0,1
Hawaii,2022-03-27,50,93,18,35,45,0,0,0,0,0
Hawaii,2022-04-03,55,76,26,36,48,0,0,0,0,0
Hawaii,2022-04-10,61,66,13,32,41,0,0,0,0,0
Hawaii,2022-04-17,82,88,16,34,53,0,0,0,0,0
Hawaii,2022-04-24,51,57,17,37,54,0,0,0,0,0
Hawaii,2022-05-01,45,69,13,27,67,0,0,0,0,0
Hawaii,2022-05-08,70,67,14,38,41,0,0,0,0,0
Hawaii,2022-05-15,54,46,22,23,45,0,0,0,0,0
Hawaii,2022-05-22,45,60,17,32,44,0,0,0,0,0
Hawaii,2022-05-29,34,65,29,33,39,0,0,0,0,0
Hawaii,2022-06-05,49,65,27,29,21,0,0,0,0,0
Hawaii,2022-06-12,57,60,9,29,42,0,0,0,0,0
Hawaii,2022-06-19,37,57,0,24,37,0,0,0,0,0
Hawaii,2022-06-26,50,56,22,20,50,0,0,0,0,0
Hawaii,2022-07-03,56,69,13,15,41,0,0,0,0,0
Hawaii,2022-07-10,57,57,15,24,44,0,0,0,0,0
Hawaii,2022-07-17,48,75,9,31,43,0,0,0,0,0
Hawaii,2022-07-24,36,45,23,25,44,0,0,0,0,0
Hawaii,2022-07-31,56,88,13,23,39,0,0,0,0,0
Hawaii,2022-08-07,37,69,10,32,27,0,0,0,0,0
Hawaii,2022-08-14,51,68,18,19,42,0,0,0,0,0
Hawaii,2022-08-21,38,91,21,35,82,0,0,0,0,0
Hawaii,2022-08-28,56,54,0,22,51,0,0,0,0,0
Hawaii,2022-09-04,44,59,8,10,35,0,0,0,0,0
Hawaii,2022-09-11,45,61,28,23,42,0,0,0,0,0
Hawaii,2022-09-18,52,58,13,21,43,0,0,0,0,0
