week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2019-11-03,59.4,63.4,20.0,37.4,41.8,0.0,0.0,0.0,0.0,0.0
2019-11-10,55.6,71.8,21.8,43.8,41.8,0.0,0.0,0.0,0.0,0.0
2019-11-17,67.8,70.6,25.2,38.8,42.8,0.0,0.0,0.0,0.0,0.0
2019-11-24,56.6,65.6,22.8,28.4,31.2,0.0,0.0,0.0,0.0,0.0
2019-12-01,55.0,62.6,22.6,44.0,42.6,0.0,0.0,0.0,0.0,0.0
2019-12-08,63.6,70.8,26.4,33.4,44.0,0.0,0.0,0.0,0.0,0.0
2019-12-15,58.6,67.8,22.8,32.2,30.6,0.0,0.0,0.0,0.0,0.0
2019-12-22,45.0,56.0,15.4,18.2,24.2,0.0,0.0,0.0,0.0,0.0
2019-12-29,42.8,59.2,17.0,34.2,30.4,0.0,0.0,0.0,0.0,0.0
2020-01-05,60.4,75.4,22.6,42.0,32.6,0.0,0.0,0.0,0.0,0.0
2020-01-12,61.0,70.0,21.0,37.6,41.2,0.0,0.0,0.0,0.0,0.0
2020-01-19,60.2,69.4,21.0,36.0,38.4,0.0,0.0,0.0,0.0,0.0
2020-01-26,62.0,71.4,20.6,45.4,51.8,0.0,0.0,0.0,0.0,0.0
2020-02-02,62.2,68.4,23.4,38.2,47.2,0.0,0.0,0.0,0.0,0.0
2020-02-09,62.8,72.4,18.6,39.0,46.2,0.0,0.0,0.0,0.0,0.0
2020-02-16,63.0,75.4,21.2,39.0,46.8,0.0,0.0,0.0,0.0,0.0
2020-02-23,67.4,68.4,29.2,42.6,41.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,72.4,68.4,28.6,38.4,40.4,0.0,0.0,0.0,0.0,0.0
2020-03-08,67.4,69.2,19.8,31.4,33.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,69.4,64.4,14.6,23.4,33.2,0.2,0.0,0.2,0.2,0.0
2020-03-22,73.8,68.4,18.2,24.0,32.2,0.6,0.0,0.6,0.6,0.4
2020-03-29,67.6,74.0,18.8,20.8,33.4,1.0,0.2,1.0,1.0,0.4
2020-04-05,70.0,62.8,18.2,22.4,36.0,1.0,0.2,1.0,1.0,0.4
2020-04-12,69.0,63.0,23.0,20.8,34.6,1.0,0.2,1.0,1.0,0.4
2020-04-19,65.6,67.8,19.8,35.4,42.2,1.0,0.4,1.0,1.0,0.4
2020-04-26,74.6,69.2,27.0,30.8,45.6,0.8,0.4,1.0,1.0,0.4
2020-05-03,66.6,64.0,26.0,30.2,47.2,0.8,0.4,1.0,1.0,0.4
2020-05-10,71.6,69.8,23.0,28.2,44.2,0.6,0.4,1.0,1.0,0.4
2020-05-17,65.4,69.6,25.0,30.2,41.6,0.6,0.4,1.0,1.0,0.4
2020-05-24,45.6,71.6,21.2,28.2,39.4,0.6,0.4,0.8,0.8,0.4
2020-05-31,49.2,63.0,20.4,31.8,43.0,0.4,0.4,0.8,0.8,0.4
2020-06-07,50.6,65.6,17.2,31.4,40.0,0.4,0.4,0.8,0.8,0.4
2020-06-14,55.2,72.0,22.0,26.8,36.2,0.2,0.4,0.8,0.8,0.4
2020-06-21,49.8,79.0,20.6,30.4,37.0,0.2,0.6,0.6,0.6,0.4
2020-06-28,56.4,70.6,22.6,32.8,37.0,0.2,0.8,0.6,0.6,0.8
2020-07-05,51.8,74.0,19.4,35.0,38.2,0.0,0.8,0.6,0.6,0.8
2020-07-12,62.6,67.2,16.2,36.4,41.4,0.0,0.8,0.8,0.8,0.8
2020-07-19,53.0,71.6,19.0,28.4,35.4,0.0,0.8,0.8,0.8,0.8
2020-07-26,50.8,71.2,18.8,36.4,38.2,0.0,0.8,0.8,0.8,0.8
2020-08-02,49.0,72.2,20.6,33.0,38.8,0.0,0.8,0.6,0.6,0.8
2020-08-09,54.2,65.8,17.2,34.6,39.4,0.0,0.8,0.6,0.6,0.8
2020-08-16,47.2,68.2,21.4,38.4,43.4,0.0,0.8,0.6,0.6,0.8
2020-08-23,52.4,77.2,18.6,33.0,37.6,0.0,0.8,0.6,0.6,0.8
2020-08-30,54.0,79.4,16.4,33.2,45.0,0.0,0.8,0.6,0.6,0.8
2020-09-06,55.8,69.6,21.2,37.2,40.4,0.0,0.8,0.6,0.6,0.8
2020-09-13,61.0,71.4,18.6,35.4,47.0,0.0,0.8,0.6,0.6,0.8
2020-09-20,56.6,83.6,21.8,32.2,43.0,0.0,0.8,0.6,0.6,0.8
2020-09-27,52.0,77.6,18.2,35.4,45.4,0.0,0.8,0.6,0.6,0.8
2020-10-04,55.6,75.8,20.6,31.8,56.6,0.0,0.8,0.6,0.6,0.8
2020-10-11,59.4,73.4,20.6,32.2,46.8,0.0,0.8,0.6,0.6,0.8
2020-10-18,51.8,73.2,20.8,34.8,37.2,0.0,0.8,0.6,0.6,0.8
2020-10-25,49.0,75.4,18.0,30.2,43.0,0.0,0.8,0.6,0.6,0.8
2020-11-01,49.0,61.0,17.6,25.0,34.6,0.2,0.8,0.6,0.6,0.8
2020-11-08,53.0,70.0,26.2,30.8,32.4,0.2,0.8,0.6,0.6,0.8
2020-11-15,61.8,73.0,17.2,34.8,45.6,0.2,0.8,0.6,0.6,0.8
2020-11-22,50.6,62.2,24.4,27.8,35.0,0.2,0.8,0.6,0.6,0.8
2020-11-29,56.4,75.0,20.0,31.6,41.4,0.2,0.8,0.6,0.6,0.8
2020-12-06,57.8,69.8,21.8,25.0,43.0,0.2,0.8,0.6,0.6,0.8
2020-12-13,55.2,74.0,25.2,30.4,36.6,0.2,0.8,0.6,0.6,0.8
2020-12-20,44.0,63.0,26.6,17.8,29.2,0.2,0.8,0.6,0.6,0.8
2020-12-27,49.6,70.0,19.2,23.8,25.2,0.2,0.8,0.6,0.6,0.8
2021-01-03,48.2,72.0,21.4,34.8,36.0,0.2,0.8,0.6,0.6,0.8
2021-01-10,50.0,75.6,24.4,29.8,34.0,0.2,0.8,0.4,0.6,0.8
2021-01-17,45.0,67.8,21.6,30.8,35.2,0.2,0.8,0.4,0.6,0.8
2021-01-24,53.6,80.2,21.2,33.2,38.4,0.0,0.8,0.4,0.6,0.8
2021-01-31,60.6,77.6,24.0,32.6,32.6,0.0,0.8,0.4,0.6,0.8
2021-02-07,49.2,81.8,15.0,31.2,42.4,0.0,0.8,0.4,0.6,0.8
2021-02-14,50.8,82.8,16.4,30.8,37.2,0.0,0.6,0.4,0.6,0.8
2021-02-21,56.6,85.8,17.6,40.4,43.4,0.0,0.6,0.4,0.6,0.6
2021-02-28,67.6,82.2,20.0,30.8,42.8,0.0,0.6,0.4,0.6,0.6
2021-03-07,62.8,74.4,23.8,36.2,44.2,0.0,0.6,0.4,0.6,0.6
2021-03-14,53.6,69.4,20.2,30.0,44.4,0.0,0.6,0.4,0.4,0.6
2021-03-21,50.0,74.0,17.0,34.4,41.8,0.0,0.6,0.4,0.4,0.6
2021-03-28,40.8,69.4,22.0,36.0,36.2,0.0,0.6,0.4,0.4,0.6
2021-04-04,49.8,76.8,21.2,31.6,41.4,0.0,0.6,0.4,0.4,0.4
2021-04-11,40.8,78.8,25.8,36.8,41.2,0.0,0.6,0.4,0.4,0.4
2021-04-18,52.8,72.6,23.2,39.4,41.0,0.0,0.6,0.4,0.4,0.4
2021-04-25,54.2,77.0,20.2,30.8,42.4,0.0,0.6,0.2,0.4,0.4
2021-05-02,46.2,74.0,17.4,34.4,48.6,0.0,0.6,0.2,0.4,0.4
2021-05-09,53.6,69.2,19.8,33.0,48.2,0.0,0.6,0.2,0.4,0.4
