week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2019-10-06,59.0,68.4,20.0,37.4,47.8,0.0,0.0,0.0,0.0,0.0
2019-10-13,57.4,70.2,20.4,34.8,38.8,0.0,0.0,0.0,0.0,0.0
2019-10-20,52.8,64.2,21.2,35.8,35.0,0.0,0.0,0.0,0.0,0.0
2019-10-27,57.0,63.8,24.8,36.8,29.6,0.0,0.0,0.0,0.0,0.0
2019-11-03,59.2,66.2,22.6,36.0,29.8,0.0,0.0,0.0,0.0,0.0
2019-11-10,60.0,65.8,22.2,31.0,33.0,0.0,0.0,0.0,0.0,0.0
2019-11-17,65.8,66.0,24.4,31.4,33.6,0.0,0.0,0.0,0.0,0.0
2019-11-24,42.4,56.0,24.0,20.0,23.2,0.0,0.0,0.0,0.0,0.0
2019-12-01,56.2,57.0,21.8,30.6,33.2,0.0,0.0,0.0,0.0,0.0
2019-12-08,63.6,60.4,23.2,31.6,27.2,0.0,0.0,0.0,0.0,0.0
2019-12-15,41.4,63.0,20.4,29.4,25.6,0.0,0.0,0.0,0.0,0.0
2019-12-22,34.8,48.8,14.0,14.8,18.0,0.0,0.0,0.0,0.0,0.0
2019-12-29,42.8,57.4,20.6,23.2,23.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,57.0,57.4,17.6,32.8,24.4,0.0,0.0,0.0,0.0,0.0
2020-01-12,57.2,66.8,20.4,39.2,32.4,0.0,0.0,0.0,0.0,0.0
2020-01-19,57.6,62.0,16.8,35.0,34.6,0.0,0.0,0.0,0.0,0.0
2020-01-26,57.0,63.6,23.6,37.0,31.6,0.0,0.0,0.0,0.0,0.0
2020-02-02,60.2,61.4,22.0,42.0,29.8,0.0,0.0,0.0,0.0,0.0
2020-02-09,54.6,61.6,19.2,36.0,31.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,60.0,67.2,23.0,39.0,30.4,0.0,0.0,0.0,0.0,0.0
2020-02-23,61.8,65.0,23.2,37.2,34.4,0.0,0.0,0.0,0.0,0.0
2020-03-01,54.4,60.4,17.8,38.0,32.4,0.0,0.0,0.0,0.0,0.0
2020-03-08,52.8,58.0,19.6,31.6,25.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,61.4,56.4,14.6,26.4,23.2,0.0,0.0,0.0,0.0,0.0
2020-03-22,61.6,64.6,16.8,25.4,22.8,0.0,0.0,0.2,0.0,0.0
2020-03-29,67.0,61.8,16.4,19.4,27.4,0.4,0.0,0.4,0.2,0.4
2020-04-05,64.8,61.4,18.4,22.8,26.0,0.8,0.0,0.8,0.8,0.4
2020-04-12,66.8,60.2,19.6,23.6,26.2,0.8,0.0,0.8,0.8,0.6
2020-04-19,64.6,56.6,18.4,20.4,27.8,0.8,0.0,0.8,0.8,0.6
2020-04-26,58.0,59.6,20.6,25.4,30.4,0.8,0.0,0.8,0.8,0.6
2020-05-03,60.6,58.4,21.8,25.6,29.2,0.6,0.0,0.8,0.8,0.6
2020-05-10,53.8,58.6,23.2,26.6,27.4,0.6,0.2,0.8,0.8,0.6
2020-05-17,50.0,63.6,17.8,28.4,29.8,0.4,0.2,0.8,0.8,0.4
2020-05-24,46.6,62.8,17.4,26.0,27.6,0.2,0.2,0.8,0.8,0.2
2020-05-31,42.0,55.4,21.2,27.6,30.6,0.2,0.2,0.8,0.8,0.2
2020-06-07,47.6,61.8,18.8,29.4,28.4,0.2,0.2,0.8,0.8,0.2
2020-06-14,41.6,68.4,22.2,29.4,27.2,0.2,0.2,0.8,0.8,0.2
2020-06-21,41.6,68.4,15.6,30.8,22.8,0.2,0.2,0.8,0.8,0.2
2020-06-28,47.2,64.8,20.0,30.8,30.8,0.2,0.2,0.8,0.8,0.2
2020-07-05,44.4,68.0,17.6,27.4,28.0,0.2,0.4,0.6,0.6,0.2
2020-07-12,41.6,64.2,18.4,26.4,28.6,0.2,0.4,0.6,0.6,0.2
2020-07-19,48.4,62.0,14.0,31.8,29.2,0.2,0.4,0.6,0.6,0.2
2020-07-26,47.8,66.8,19.2,31.6,26.6,0.2,0.4,0.6,0.6,0.2
