state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,buisness_closures,travel_restrictions
Alaska,2021-10-24,24,75,12,23,31,0,0,0,0,0
Alaska,2021-10-31,19,63,14,51,31,0,0,0,0,0
Alaska,2021-11-07,25,51,51,46,50,0,0,0,0,0
Alaska,2021-11-14,31,45,0,28,26,0,0,0,0,0
Alaska,2021-11-21,53,46,30,18,76,0,0,0,0,0
Alaska,2021-11-28,23,22,26,48,29,0,0,0,0,0
Alaska,2021-12-05,39,67,72,34,23,0,0,0,0,0
Alaska,2021-12-12,11,35,0,28,39,0,0,0,0,0
Alaska,2021-12-19,0,24,10,35,31,0,0,0,0,0
Alaska,2021-12-26,16,37,0,36,0,0,0,0,0,0
Alaska,2022-01-02,30,61,14,39,0,0,0,0,0,0
Alaska,2022-01-09,16,75,0,27,29,0,0,0,0,0
Alaska,2022-01-16,22,44,25,42,31,0,0,0,0,0
Alaska,2022-01-23,33,61,9,39,57,0,0,0,0,0
Alaska,2022-01-30,33,43,9,32,24,0,0,0,0,0
Alaska,2022-02-06,41,66,12,46,55,0,0,0,0,0
Alaska,2022-02-13,33,60,42,23,25,0,0,0,0,0
Alaska,2022-02-20,36,62,22,29,40,0,0,0,0,0
Alaska,2022-02-27,19,75,16,44,100,0,0,0,0,0
Alaska,2022-03-06,39,28,12,42,41,0,0,0,0,0
Alaska,2022-03-13,27,39,17,17,27,0,0,0,0,0
Alaska,2022-03-20,58,70,29,52,48,0,0,0,0,0
Alaska,2022-03-27,64,76,9,15,47,0,0,0,0,0
Alaska,2022-04-03,52,68,11,11,28,0,0,0,0,0
Alaska,2022-04-10,43,40,0,26,37,0,0,0,0,0
Alaska,2022-04-17,71,54,20,40,14,0,0,0,0,0
Alaska,2022-04-24,57,45,7,29,57,0,0,0,0,0
Alaska,2022-05-01,42,50,16,10,48,0,0,0,0,0
Alaska,2022-05-08,42,50,0,31,51,0,0,0,0,0
Alaska,2022-05-15,31,44,7,7,45,0,0,0,0,0
Alaska,2022-05-22,30,50,23,30,40,0,0,0,0,0
Alaska,2022-05-29,17,29,10,32,37,0,0,0,0,0
Alaska,2022-06-05,24,31,13,35,36,0,0,0,0,0
Alaska,2022-06-12,43,28,13,28,38,0,0,0,0,0
Alaska,2022-06-19,0,76,31,34,41,0,0,0,0,0
Alaska,2022-06-26,29,71,0,19,36,0,0,0,0,0
Alaska,2022-07-03,42,36,0,30,22,0,0,0,0,0
Alaska,2022-07-10,16,29,7,12,44,0,0,0,0,0
Alaska,2022-07-17,16,47,22,32,18,0,0,0,0,0
Alaska,2022-07-24,23,34,17,36,26,0,0,0,0,0
Alaska,2022-07-31,34,59,13,15,45,0,0,0,0,0
Alaska,2022-08-07,40,42,22,40,20,0,0,0,0,0
Alaska,2022-08-14,28,44,13,28,37,0,0,0,0,0
Alaska,2022-08-21,31,43,30,25,30,0,0,0,0,0
Alaska,2022-08-28,21,37,41,51,39,0,0,0,0,0
Alaska,2022-09-04,8,46,18,74,29,0,0,0,0,0
Alaska,2022-09-11,35,49,7,44,16,0,0,0,0,0
Alaska,2022-09-18,40,48,39,13,33,0,0,0,0,0
Alaska,2022-09-25,32,38,25,49,16,0,0,0,0,0
Alaska,2022-10-02,41,62,11,32,64,0,0,0,0,0
Alaska,2022-10-09,36,32,11,52,47,0,0,0,0,0
Alaska,2022-10-16,22,67,23,21,33,0,0,0,0,0
Alaska,2022-10-23,30,62,16,23,43,0,0,0,0,0
Alaska,2022-10-30,46,48,11,29,52,0,0,0,0,0
Alaska,2022-11-06,43,59,12,62,25,0,0,0,0,0
Alaska,2022-11-13,31,48,7,41,37,0,0,0,0,0
Alaska,2022-11-20,36,48,25,30,42,0,0,0,0,0
Alaska,2022-11-27,35,44,0,59,31,0,0,0,0,0
Alaska,2022-12-04,38,25,10,24,28,0,0,0,0,0
Alaska,2022-12-11,25,57,13,58,16,0,0,0,0,0
Alaska,2022-12-18,55,52,0,48,30,0,0,0,0,0
Alaska,2022-12-25,12,64,14,27,17,0,0,0,0,0
Alaska,2023-01-01,36,38,17,35,28,0,0,0,0,0
