week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2019-09-01,47.6,65.6,20.0,34.1,34.4,0.0,0.0,0.0,0.0,0.0
2019-09-08,55.7,65.0,22.2,39.6,37.4,0.0,0.0,0.0,0.0,0.0
2019-09-15,56.3,68.0,21.1,33.9,35.5,0.0,0.0,0.0,0.0,0.0
2019-09-22,54.7,67.3,22.7,39.0,35.6,0.0,0.0,0.0,0.0,0.0
2019-09-29,57.4,66.4,18.7,35.4,33.7,0.0,0.0,0.0,0.0,0.0
2019-10-06,57.3,65.7,21.4,36.8,52.5,0.0,0.0,0.0,0.0,0.0
2019-10-13,62.0,71.5,23.8,37.3,43.0,0.0,0.0,0.0,0.0,0.0
2019-10-20,58.2,67.7,20.7,38.9,41.0,0.0,0.0,0.0,0.0,0.0
2019-10-27,56.6,70.0,24.0,37.3,38.9,0.0,0.0,0.0,0.0,0.0
2019-11-03,59.3,64.8,21.3,36.7,35.8,0.0,0.0,0.0,0.0,0.0
2019-11-10,57.8,68.8,22.0,37.4,37.4,0.0,0.0,0.0,0.0,0.0
2019-11-17,66.8,68.3,24.8,35.1,38.2,0.0,0.0,0.0,0.0,0.0
2019-11-24,49.5,60.8,23.4,24.2,27.2,0.0,0.0,0.0,0.0,0.0
2019-12-01,55.6,59.8,22.2,37.3,37.9,0.0,0.0,0.0,0.0,0.0
2019-12-08,63.6,65.6,24.8,32.5,35.6,0.0,0.0,0.0,0.0,0.0
2019-12-15,50.0,65.4,21.6,30.8,28.1,0.0,0.0,0.0,0.0,0.0
2019-12-22,39.9,52.4,14.7,16.5,21.1,0.0,0.0,0.0,0.0,0.0
2019-12-29,42.8,58.3,18.8,28.7,26.7,0.0,0.0,0.0,0.0,0.0
2020-01-05,58.7,66.4,20.1,37.4,28.5,0.0,0.0,0.0,0.0,0.0
2020-01-12,59.1,68.4,20.7,38.4,36.8,0.0,0.0,0.0,0.0,0.0
2020-01-19,58.9,65.7,18.9,35.5,36.5,0.0,0.0,0.0,0.0,0.0
2020-01-26,59.5,67.5,22.1,41.2,41.7,0.0,0.0,0.0,0.0,0.0
2020-02-02,61.2,64.9,22.7,40.1,38.5,0.0,0.0,0.0,0.0,0.0
2020-02-09,58.7,67.0,18.9,37.5,38.6,0.0,0.0,0.0,0.0,0.0
2020-02-16,61.5,71.3,22.1,39.0,38.6,0.0,0.0,0.0,0.0,0.0
2020-02-23,64.6,66.7,26.2,39.9,37.7,0.0,0.0,0.0,0.0,0.0
2020-03-01,63.4,64.4,23.2,38.2,36.4,0.0,0.0,0.0,0.0,0.0
2020-03-08,60.1,63.6,19.7,31.5,29.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,65.4,60.4,14.6,24.9,28.2,0.1,0.0,0.1,0.1,0.0
2020-03-22,67.7,66.5,17.5,24.7,27.5,0.3,0.0,0.4,0.3,0.2
2020-03-29,67.3,67.9,17.6,20.1,30.4,0.7,0.1,0.7,0.6,0.4
2020-04-05,67.4,62.1,18.3,22.6,31.0,0.9,0.1,0.9,0.9,0.4
2020-04-12,67.9,61.6,21.3,22.2,30.4,0.9,0.1,0.9,0.9,0.5
2020-04-19,65.1,62.2,19.1,27.9,35.0,0.9,0.2,0.9,0.9,0.5
2020-04-26,66.3,64.4,23.8,28.1,38.0,0.8,0.2,0.9,0.9,0.5
2020-05-03,63.6,61.2,23.9,27.9,38.2,0.7,0.2,0.9,0.9,0.5
2020-05-10,62.7,64.2,23.1,27.4,35.8,0.6,0.3,0.9,0.9,0.5
2020-05-17,57.7,66.6,21.4,29.3,35.7,0.5,0.3,0.9,0.9,0.4
2020-05-24,46.1,67.2,19.3,27.1,33.5,0.4,0.3,0.8,0.8,0.3
2020-05-31,45.6,59.2,20.8,29.7,36.8,0.3,0.3,0.8,0.8,0.3
2020-06-07,49.1,63.7,18.0,30.4,34.2,0.3,0.3,0.8,0.8,0.3
2020-06-14,48.4,70.2,22.1,28.1,31.7,0.2,0.3,0.8,0.8,0.3
2020-06-21,45.7,73.7,18.1,30.6,29.9,0.2,0.4,0.7,0.7,0.3
